ncverilog: 15.20-s039: (c) Copyright 1995-2017 Cadence Design Systems, Inc.
TOOL:	ncverilog	15.20-s039: Started on Oct 07, 2019 at 23:07:09 CST
ncverilog
	+access+rwc
	test_bench_4bit.v
Loading snapshot worklib.test_bench_4bit:v .................... Done
ncsim> source /usr/cad/cadence/INCISIV/cur/tools/inca/files/ncsimrc
ncsim> run
=========This is a test bench of 4 bit ADDER=========
                1030 || a= 12 | b= 14 | c= 0 | s= 10 | OC= 1 | (ERR:          1)
                1035 || a= 12 | b= 15 | c= 0 | s= 11 | OC= 1 | (ERR:          1)
                1040 || a= 13 | b=  0 | c= 0 | s= 13 | OC= 0 | (ERR:          1)
                1045 || a= 13 | b=  1 | c= 0 | s= 14 | OC= 0 | (ERR:          1)
                1050 || a= 13 | b=  2 | c= 0 | s= 15 | OC= 0 | (ERR:          1)
                1055 || a= 13 | b=  3 | c= 0 | s=  0 | OC= 1 | (ERR:          1)
                1060 || a= 13 | b=  4 | c= 0 | s=  1 | OC= 1 | (ERR:          1)
                1065 || a= 13 | b=  5 | c= 0 | s=  2 | OC= 1 | (ERR:          1)
                1070 || a= 13 | b=  6 | c= 0 | s=  3 | OC= 1 | (ERR:          1)
                1075 || a= 13 | b=  7 | c= 0 | s=  4 | OC= 1 | (ERR:          1)
                1080 || a= 13 | b=  8 | c= 0 | s=  5 | OC= 1 | (ERR:          1)
                1085 || a= 13 | b=  9 | c= 0 | s=  6 | OC= 1 | (ERR:          1)
                1090 || a= 13 | b= 10 | c= 0 | s=  7 | OC= 1 | (ERR:          1)
                1095 || a= 13 | b= 11 | c= 0 | s=  8 | OC= 1 | (ERR:          1)
                1100 || a= 13 | b= 12 | c= 0 | s=  9 | OC= 1 | (ERR:          1)
                1105 || a= 13 | b= 13 | c= 0 | s= 10 | OC= 1 | (ERR:          1)
                1110 || a= 13 | b= 14 | c= 0 | s= 11 | OC= 1 | (ERR:          1)
                1115 || a= 13 | b= 15 | c= 0 | s= 12 | OC= 1 | (ERR:          1)
                1120 || a= 14 | b=  0 | c= 0 | s= 14 | OC= 0 | (ERR:          1)
                1125 || a= 14 | b=  1 | c= 0 | s= 15 | OC= 0 | (ERR:          1)
                1130 || a= 14 | b=  2 | c= 0 | s=  0 | OC= 1 | (ERR:          1)
                1135 || a= 14 | b=  3 | c= 0 | s=  1 | OC= 1 | (ERR:          1)
                1140 || a= 14 | b=  4 | c= 0 | s=  2 | OC= 1 | (ERR:          1)
                1145 || a= 14 | b=  5 | c= 0 | s=  3 | OC= 1 | (ERR:          1)
                1150 || a= 14 | b=  6 | c= 0 | s=  4 | OC= 1 | (ERR:          1)
                1155 || a= 14 | b=  7 | c= 0 | s=  5 | OC= 1 | (ERR:          1)
                1160 || a= 14 | b=  8 | c= 0 | s=  6 | OC= 1 | (ERR:          1)
                1165 || a= 14 | b=  9 | c= 0 | s=  7 | OC= 1 | (ERR:          1)
                1170 || a= 14 | b= 10 | c= 0 | s=  8 | OC= 1 | (ERR:          1)
                1175 || a= 14 | b= 11 | c= 0 | s=  9 | OC= 1 | (ERR:          1)
                1180 || a= 14 | b= 12 | c= 0 | s= 10 | OC= 1 | (ERR:          1)
                1185 || a= 14 | b= 13 | c= 0 | s= 11 | OC= 1 | (ERR:          1)
                1190 || a= 14 | b= 14 | c= 0 | s= 12 | OC= 1 | (ERR:          1)
                1195 || a= 14 | b= 15 | c= 0 | s= 13 | OC= 1 | (ERR:          1)
                1200 || a= 15 | b=  0 | c= 0 | s= 15 | OC= 0 | (ERR:          1)
                1205 || a= 15 | b=  1 | c= 0 | s=  0 | OC= 1 | (ERR:          1)
                1210 || a= 15 | b=  2 | c= 0 | s=  1 | OC= 1 | (ERR:          1)
                1215 || a= 15 | b=  3 | c= 0 | s=  2 | OC= 1 | (ERR:          1)
                1220 || a= 15 | b=  4 | c= 0 | s=  3 | OC= 1 | (ERR:          1)
                1225 || a= 15 | b=  5 | c= 0 | s=  4 | OC= 1 | (ERR:          1)
                1230 || a= 15 | b=  6 | c= 0 | s=  5 | OC= 1 | (ERR:          1)
                1235 || a= 15 | b=  7 | c= 0 | s=  6 | OC= 1 | (ERR:          1)
                1240 || a= 15 | b=  8 | c= 0 | s=  7 | OC= 1 | (ERR:          1)
                1245 || a= 15 | b=  9 | c= 0 | s=  8 | OC= 1 | (ERR:          1)
                1250 || a= 15 | b= 10 | c= 0 | s=  9 | OC= 1 | (ERR:          1)
                1255 || a= 15 | b= 11 | c= 0 | s= 10 | OC= 1 | (ERR:          1)
                1260 || a= 15 | b= 12 | c= 0 | s= 11 | OC= 1 | (ERR:          1)
                1265 || a= 15 | b= 13 | c= 0 | s= 12 | OC= 1 | (ERR:          1)
                1270 || a= 15 | b= 14 | c= 0 | s= 13 | OC= 1 | (ERR:          1)
                1275 || a= 15 | b= 15 | c= 0 | s= 14 | OC= 1 | (ERR:          1)
                1280 || a=  0 | b=  0 | c= 0 | s=  0 | OC= 0 | (ERR:          1)
OK!
Simulation complete via $finish(1) at time 1290 NS + 0
./test_bench_4bit.v:43 #5 $finish;
ncsim> exit
TOOL:	ncverilog	15.20-s039: Exiting on Oct 07, 2019 at 23:07:09 CST  (total: 00:00:00)
